ts,ms,pump,manual_override,alert,reason,context,rec_ms,tTop,tMid,tBot,dT_tb,pressure_hPa,lux,irObj,irAmb,airT,airRH,tds_mV,tds_sat,micRMS,DOproxy,ml_on,ml_pred,ml_conf,ml_used,extra
1758845332.803301,75953,False,False,False,none,night,0,19.44,19.44,19.87,-0.44,1000.9,108.5,22.65,20.41,19.5,69,0,False,0.0,9.07,True,calm,0.656,False,
1758845333.014495,77457,False,False,False,none,night,0,19.44,19.5,19.87,-0.44,1000.9,108.6,22.69,20.39,19.5,69,0,False,0.0,9.06,True,calm,0.656,False,
1758845334.010359,78449,False,False,False,none,night,0,19.44,19.5,19.87,-0.44,1000.9,108.5,22.69,20.41,19.5,69,0,False,0.0,9.06,True,calm,0.656,False,
1758845335.017685,79457,False,False,False,none,night,0,19.44,19.5,19.87,-0.44,1001.0,108.5,22.69,20.37,19.5,69,0,False,90.48,9.06,True,human-tap,0.277,False,
1758845336.007424,80449,False,False,False,none,night,0,19.44,19.5,19.87,-0.44,1001.0,108.5,22.69,20.39,19.5,69,0,False,0.0,9.06,True,calm,0.656,False,
1758845337.020681,81457,False,False,False,none,night,0,19.44,19.5,19.87,-0.44,1001.0,108.5,22.69,20.45,19.5,69,9,False,90.49,9.06,True,human-tap,0.281,False,
1758845339.299763,82449,False,False,False,none,night,0,19.44,19.44,19.87,-0.44,1001.0,108.5,22.71,20.45,19.5,69,0,False,0.0,9.07,True,calm,0.656,False,
1758845339.519636,83953,False,False,False,none,night,0,19.44,19.44,19.87,-0.44,1001.0,108.5,22.63,20.35,19.5,69,0,False,0.0,9.07,True,calm,0.656,False,
1758845340.5050619,84945,False,False,False,none,night,0,19.44,19.5,19.87,-0.44,1001.0,108.5,22.65,20.39,19.5,69,0,False,0.0,9.06,True,calm,0.656,False,
1758845341.516027,85953,False,False,False,none,night,0,19.44,19.5,19.87,-0.44,1000.9,108.6,22.69,20.41,19.5,69,0,False,0.0,9.06,True,calm,0.656,False,
1758845342.5089438,86945,False,False,False,none,night,0,19.44,19.5,19.87,-0.44,1000.9,108.5,22.71,20.45,19.5,69,0,False,0.0,9.06,True,calm,0.656,False,
1758845343.514424,87953,False,False,False,none,night,0,19.44,19.5,19.87,-0.44,1001.1,108.8,22.77,20.41,19.5,69,0,False,0.0,9.06,True,calm,0.656,False,
1758845344.5030441,88945,False,False,False,none,night,0,19.44,19.5,19.87,-0.44,1000.9,108.9,22.71,20.41,19.5,69,0,False,0.0,9.06,True,calm,0.656,False,
1758845345.5168178,89953,False,False,False,none,night,0,19.44,19.44,19.87,-0.44,1000.9,108.7,22.69,20.45,19.5,69,0,False,0.0,9.07,True,calm,0.656,False,
1758845346.502812,90945,False,False,False,none,night,0,19.44,19.5,19.87,-0.44,1000.9,108.7,22.53,20.39,19.5,69,0,False,0.0,9.06,True,calm,0.656,False,
1758845347.702324,91953,False,False,False,none,night,0,19.44,19.5,19.87,-0.44,1000.9,108.7,22.69,20.45,19.5,69,0,False,0.0,9.06,True,calm,0.656,False,
1758845348.5055711,92945,False,False,False,none,night,0,19.44,19.5,19.87,-0.44,1001.0,108.7,22.59,20.39,19.5,69,0,False,0.0,9.06,True,calm,0.656,False,
1758845349.519695,93953,False,False,False,none,night,0,19.44,19.44,19.87,-0.44,1001.0,108.8,22.69,20.45,19.5,69,0,False,0.0,9.07,True,calm,0.656,False,
1758845350.5068889,94945,False,False,False,none,night,0,19.44,19.5,19.87,-0.44,1000.9,108.8,22.75,20.41,19.5,69,0,False,0.0,9.06,True,calm,0.656,False,
1758845351.518228,95953,False,False,False,none,night,0,19.44,19.5,19.94,-0.5,1000.9,108.7,22.65,20.41,19.5,69,0,False,0.0,9.06,True,calm,0.656,False,
1758845352.505826,96945,False,False,False,none,night,0,19.44,19.44,19.87,-0.44,1001.0,108.8,22.65,20.45,19.5,69,0,False,90.49,9.07,True,human-tap,0.277,False,
1758845353.513493,97953,False,False,False,none,night,0,19.44,19.5,19.87,-0.44,1000.9,108.8,22.71,20.45,19.5,69,0,False,0.0,9.06,True,calm,0.656,False,
1758845354.535479,98945,False,False,False,none,night,0,19.44,19.5,19.87,-0.44,1001.0,108.7,22.59,20.41,19.5,69,0,False,0.0,9.06,True,calm,0.656,False,
1758845355.5249898,99953,False,False,False,none,night,0,19.44,19.5,19.87,-0.44,1001.0,108.8,22.63,20.41,19.5,69,0,False,0.0,9.06,True,calm,0.656,False,
1758845356.5069382,100945,False,False,False,none,night,0,19.44,19.5,19.87,-0.44,1001.0,108.8,22.71,20.45,19.5,69,0,False,0.0,9.06,True,calm,0.656,False,
1758845357.557098,101953,False,False,False,none,night,0,19.44,19.5,19.87,-0.44,1000.9,108.8,22.81,20.41,19.5,69,0,False,0.0,9.06,True,calm,0.656,False,
1758845358.523,102961,False,False,False,none,night,0,19.44,19.5,19.87,-0.44,1000.9,108.8,22.65,20.45,19.5,69,0,False,0.0,9.06,True,calm,0.656,False,
1758845359.5178308,103953,False,False,False,none,night,0,19.44,19.5,19.87,-0.44,1001.0,108.9,22.71,20.41,19.5,69,0,False,0.0,9.06,True,calm,0.656,False,
1758845360.5223758,104961,False,False,False,none,night,0,19.44,19.5,19.87,-0.44,1000.9,108.8,22.75,20.47,19.5,69,0,False,0.0,9.06,True,calm,0.656,False,
1758845361.511314,105953,False,False,False,none,night,0,19.44,19.5,19.87,-0.44,1000.9,108.6,22.77,20.45,19.5,69,0,False,0.0,9.06,True,calm,0.656,False,
1758845362.505992,106945,False,False,False,none,night,0,19.44,19.5,19.87,-0.44,1000.9,108.6,22.75,20.45,19.5,69,0,False,0.0,9.06,True,calm,0.656,False,
1758845363.514695,107953,False,False,False,none,night,0,19.44,19.5,19.87,-0.44,1000.9,108.7,22.75,20.39,19.5,69,0,False,0.0,9.06,True,calm,0.656,False,
1758845364.522006,108961,False,False,False,none,night,0,19.44,19.5,19.87,-0.44,1000.9,108.6,22.63,20.45,19.5,69,0,False,0.0,9.06,True,calm,0.656,False,
1758845365.512353,109953,False,False,False,none,night,0,19.44,19.5,19.87,-0.44,1000.9,108.5,22.59,20.47,19.5,69,0,False,0.0,9.06,True,calm,0.656,False,
1758845366.509095,110945,False,False,False,none,night,0,19.44,19.44,19.87,-0.44,1001.0,108.4,22.43,20.41,19.5,69,0,False,0.0,9.07,True,calm,0.656,False,
