ts,ms,pump,manual_override,alert,reason,rec_ms,tTop,tMid,tBot,dT_tb,pressure_hPa,lux,irObj,irAmb,airT,airRH,tds_mV,tds_sat,micRMS,DOproxy
1758213426.3413088,40076,True,False,True,hypoxia_emerg,15000,28.06,28.06,28.0,0.06,1002.1,16.0,25.79,26.39,25.9,55,349,False,3.86,0.453
1758213427.136409,41084,True,False,True,hypoxia_emerg,15000,28.06,28.06,28.0,0.06,1002.0,15.6,25.75,26.41,25.9,55,371,False,3.14,0.453
1758213428.131863,42076,True,False,True,hypoxia_emerg,15000,28.06,28.06,28.0,0.06,1002.1,15.4,25.79,26.41,25.9,55,363,False,3.26,0.453
1758213429.132753,43084,True,False,True,hypoxia_emerg,15000,28.06,28.06,27.94,0.13,1002.2,15.5,25.75,26.37,25.9,55,382,False,2.77,0.453
1758213430.162892,44076,True,False,True,hypoxia_emerg,15000,28.06,28.0,28.0,0.06,1002.0,15.4,25.79,26.41,25.9,55,402,False,4.05,0.455
1758213431.134494,45084,True,False,True,hypoxia_emerg,15000,28.06,28.06,28.0,0.06,1002.0,15.4,25.79,26.41,25.9,55,377,False,2.51,0.453
1758213432.124916,46076,True,False,True,hypoxia_emerg,15000,28.06,28.06,28.0,0.06,1002.0,15.5,25.79,26.41,25.9,55,377,False,2.31,0.453
1758213433.167346,47084,True,False,True,hypoxia_emerg,15000,28.06,28.06,28.0,0.06,1002.0,15.4,25.79,26.43,25.9,55,385,False,2.92,0.453
1758213434.128761,48076,True,False,True,hypoxia_emerg,15000,28.06,28.0,28.0,0.06,1002.1,15.4,25.87,26.43,25.9,55,379,False,3.08,0.455
1758213435.13589,49084,True,False,True,hypoxia_emerg,15000,28.06,28.06,28.0,0.06,1002.1,15.4,25.79,26.41,25.9,55,380,False,2.73,0.453
1758213436.273352,50076,True,False,True,hypoxia_emerg,15000,28.06,28.06,28.0,0.06,1002.1,15.4,25.67,26.39,25.9,55,385,False,2.59,0.453
1758213437.13782,51084,True,False,True,hypoxia_emerg,15000,28.06,28.0,27.94,0.13,1002.0,15.4,25.75,26.39,25.9,55,385,False,3.72,0.455
1758213438.125949,52076,True,False,True,hypoxia_emerg,15000,28.06,28.06,28.0,0.06,1002.1,15.4,25.73,26.39,25.9,55,355,False,90.5,0.453
1758213439.16549,53084,True,False,True,hypoxia_emerg,15000,28.06,28.06,28.0,0.06,1002.1,15.4,25.73,26.37,25.9,55,372,False,3.04,0.453
1758213440.129552,54076,True,False,True,hypoxia_emerg,15000,28.06,28.06,28.0,0.06,1002.0,15.4,25.63,26.39,25.9,55,380,False,2.99,0.453
1758213441.1380322,55084,True,False,True,hypoxia_emerg,15000,28.06,28.06,28.0,0.06,1002.1,15.4,25.75,26.41,25.9,55,384,False,2.46,0.453
1758213442.162543,56076,True,False,True,hypoxia_emerg,15000,28.06,28.06,28.0,0.06,1002.0,15.4,25.73,26.39,25.9,55,395,False,2.7,0.453
1758213443.140361,57084,True,False,True,hypoxia_emerg,15000,28.06,28.06,27.94,0.13,1002.0,15.4,25.73,26.41,25.9,55,371,False,4.19,0.453
1758213444.131495,58076,True,False,True,hypoxia_emerg,15000,28.06,28.06,27.94,0.13,1002.1,15.4,25.79,26.35,25.9,56,398,False,4.17,0.453
1758213445.174036,59084,True,False,True,hypoxia_emerg,15000,28.06,28.06,28.0,0.06,1002.2,15.4,25.79,26.41,25.9,56,391,False,3.56,0.453
1758213446.128055,60076,True,False,True,hypoxia_emerg,15000,28.06,28.06,27.94,0.13,1002.1,15.4,25.73,26.41,25.9,56,368,False,3.22,0.453
1758213447.145918,61084,True,False,True,hypoxia_emerg,15000,28.06,28.06,28.0,0.06,1002.1,15.4,25.73,26.39,25.9,56,371,False,3.05,0.453
1758213449.278302,62076,True,False,True,hypoxia_emerg,15000,28.06,28.06,28.0,0.06,1002.0,15.4,25.73,26.41,25.9,56,382,False,2.28,0.453
1758213449.5860522,63532,True,False,True,hypoxia_emerg,15000,28.06,28.06,28.0,0.06,1002.0,15.7,25.79,26.39,25.9,56,369,False,2.16,0.453
